count,id,name,age,gender,nationality,agreement,pltnum,Qno,Qsub,kwd並び,kwd,Kwd日本語,kwd2,col_1,col_2a,col_2b,c_c,c_c,col_sum,col_3a,col_3b,col_3c,col_Aa,col_Ab,col_Ac,col_Ra,col_Rb,col_Rc
1,undefined,3,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,14,1,14,#FFE8E8,#FFE8E8,1,1,14,27,1,14,27,0.3333,0.3333,0.3333
1,undefined,4,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,12,13,#FFE8E8,#FFE8E8,1,51,1,5,51,1,5,0.32,0.46,0.22
1,undefined,41,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,14,40,51,#FFE8E8,#FFE8E8,1,25,1,27,25,1,27,0.3911110942,0.4733333333,0.1355555725
1,undefined,26,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,12,#FFE8E8,#FFE8E8,1,25,12,1,25,12,1,0.24,0.2666666667,0.4933333333
1,undefined,55,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,3,20,#FFF5E7,#FFF5E7,3,25,3,20,25,3,20,0.44,0.5266666667,0.03333333333
1,undefined,4,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,12,13,#FFFFE7,#FFFFE7,5,51,1,5,51,1,5,0.32,0.46,0.22
1,undefined,45,4,2,1,undefined,num,3,1,1,lovely,愛らしい,undefined,12,12,11,#FFFFE7,#FFFFE7,5,11,5,12,11,5,12,0.56,0.08,0.36
1,undefined,46,7,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,29,25,#E7FBFF,#E7FBFF,8,18,8,14,18,8,14,0.3933333333,0.1866666667,0.42
1,undefined,45,4,2,1,undefined,num,3,1,1,lovely,愛らしい,undefined,12,12,11,#F6E7FF,#F6E7FF,11,11,5,12,11,5,12,0.56,0.08,0.36
1,undefined,48,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,12,25,#F6E7FF,#F6E7FF,11,11,12,25,11,12,25,0.1866666667,0.46,0.3533333333
1,undefined,51,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,14,14,11,#F6E7FF,#F6E7FF,11,14,11,21,14,11,21,0.38,0.34,0.28
1,undefined,20,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,38,25,12,#FFE8F6,#FFE8F6,12,12,25,38,12,25,38,0.3244444784,0.3422221883,0.3333333333
1,undefined,28,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,38,25,38,#FFE8F6,#FFE8F6,12,12,25,42,12,25,42,0.5533333333,0.2133333333,0.2333333333
1,undefined,36,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,12,12,28,#FFE8F6,#FFE8F6,12,12,28,18,12,28,18,0.3333,0.3333,0.3333
1,undefined,40,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,14,#FFE8F6,#FFE8F6,12,12,14,15,12,14,15,0.511111145,0.3266666667,0.1622221883
1,undefined,26,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,12,#FFE8F6,#FFE8F6,12,25,12,1,25,12,1,0.24,0.2666666667,0.4933333333
1,undefined,38,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,12,25,12,#FFE8F6,#FFE8F6,12,25,12,0,25,12,0,0.2577778117,0.5733333333,0.168888855
1,undefined,7,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,24,#FFE8F6,#FFE8F6,12,25,24,12,25,24,12,0.12,0.3666666667,0.5133333333
1,undefined,19,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,51,51,40,#FFE8F6,#FFE8F6,12,51,40,12,51,40,12,0.4133333333,0.3933333333,0.1933333333
1,undefined,42,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,27,#FFE8F6,#FFE8F6,12,25,27,12,25,27,12,0.1955556234,0.3466666667,0.45777771
1,undefined,45,4,2,1,undefined,num,3,1,1,lovely,愛らしい,undefined,12,12,11,#FFE8F6,#FFE8F6,12,11,5,12,11,5,12,0.56,0.08,0.36
1,undefined,48,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,12,25,#FFE8F6,#FFE8F6,12,11,12,25,11,12,25,0.1866666667,0.46,0.3533333333
1,undefined,49,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,12,38,64,#FFE8F6,#FFE8F6,12,12,22,18,12,22,18,0.5466666667,0.26,0.1933333333
1,undefined,56,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,38,25,12,#FFE8F6,#FFE8F6,12,12,25,38,12,25,38,0.2666666667,0.36,0.3733333333
1,undefined,58,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,37,#FFFFFF,#FFFFFF,13,25,13,24,25,13,24,0.6133333333,0.08,0.3066666667
1,undefined,3,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,14,1,14,#FFB9B8,#FFB9B8,14,1,14,27,1,14,27,0.3333,0.3333,0.3333
1,undefined,9,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,14,#FFB9B8,#FFB9B8,14,25,14,51,25,14,51,0.422222239,0.133333333,0.444444427
1,undefined,40,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,14,#FFB9B8,#FFB9B8,14,12,14,15,12,14,15,0.511111145,0.3266666667,0.1622221883
1,undefined,12,1,1,0,undefined,num,3,1,1,lovely,愛らしい,undefined,38,38,27,#FFB9B8,#FFB9B8,14,38,27,14,38,27,14,0.433333333,0.326666667,0.24
1,undefined,16,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,18,#FFB9B8,#FFB9B8,14,25,18,14,25,18,14,0.5266666667,0.1133333333,0.36
1,undefined,46,7,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,29,25,#FFB9B8,#FFB9B8,14,18,8,14,18,8,14,0.3933333333,0.1866666667,0.42
1,undefined,51,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,14,14,11,#FFB9B8,#FFB9B8,14,14,11,21,14,11,21,0.38,0.34,0.28
1,undefined,51,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,14,14,11,#FFB9B8,#FFB9B8,14,14,11,21,14,11,21,0.38,0.34,0.28
1,undefined,53,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,38,38,51,#FFB9B8,#FFB9B8,14,14,27,38,14,27,38,0.3333,0.3333,0.3333
1,undefined,44,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,undefined,undefined,undefined,#FFB9B8,#FFB9B8,14,31,16,14,,,,,,
1,undefined,32,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,16,#FFD4B7,#FFD4B7,15,25,16,15,25,16,15,0.433333333,0.293333333,0.273333333
1,undefined,40,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,14,#FFD4B7,#FFD4B7,15,12,14,15,12,14,15,0.511111145,0.3266666667,0.1622221883
1,undefined,54,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,27,27,38,#FFD4B7,#FFD4B7,15,27,38,15,27,38,15,0.3333,0.3333,0.3333
1,undefined,32,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,16,#FFE2B7,#FFE2B7,16,25,16,15,25,16,15,0.433333333,0.293333333,0.273333333
1,undefined,44,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,undefined,undefined,undefined,#FFE2B7,#FFE2B7,16,31,16,14,,,,,,
1,undefined,35,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,38,25,38,#FFFFB5,#FFFFB5,18,18,25,51,18,25,51,0.2133333333,0.4933333333,0.2933333333
1,undefined,16,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,18,#FFFFB5,#FFFFB5,18,25,18,14,25,18,14,0.5266666667,0.1133333333,0.36
1,undefined,36,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,12,12,28,#FFFFB5,#FFFFB5,18,12,28,18,12,28,18,0.3333,0.3333,0.3333
1,undefined,46,7,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,29,25,#FFFFB5,#FFFFB5,18,18,8,14,18,8,14,0.3933333333,0.1866666667,0.42
1,undefined,49,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,12,38,64,#FFFFB5,#FFFFB5,18,12,22,18,12,22,18,0.5466666667,0.26,0.1933333333
1,undefined,55,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,3,20,#BDFFB6,#BDFFB6,20,25,3,20,25,3,20,0.44,0.5266666667,0.03333333333
1,undefined,49,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,12,38,64,#B8DEFF,#B8DEFF,22,12,22,18,12,22,18,0.5466666667,0.26,0.1933333333
1,undefined,2,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,24,#B9BFFF,#B9BFFF,23,25,24,23,25,24,23,0.4733333333,0.3333333333,0.1933333333
1,undefined,2,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,24,#E4B7FF,#E4B7FF,24,25,24,23,25,24,23,0.4733333333,0.3333333333,0.1933333333
1,undefined,7,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,24,#E4B7FF,#E4B7FF,24,25,24,12,25,24,12,0.12,0.3666666667,0.5133333333
1,undefined,33,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,38,38,24,#E4B7FF,#E4B7FF,24,38,24,50,38,24,50,0.4177778117,0.4133333333,0.168888855
