name,kwd,col_3a,col_3b,col_3c
1,favorite,12,11,38
1,朝(morning),18,9,16
1,昼(midday),16,15,14
1,夕(sunset),80,113,81
1,夜(night),143,113,101
1,春(spring),12,1,15
1,夏(summer),47,51,50
1,秋(autumn),82,94,105
1,冬(winter),22,21,26
1,愛らしい,0,0,0
1,楽しい,0,0,0
1,豪華な,0,0,0
1,素朴な,0,0,0
1,味わい深い,0,0,0
1,格調のある,0,0,0
1,優雅な,0,0,0
1,気品のある,0,0,0
1,合理的な,0,0,0
1,nation,,,
1,hometown,,,
2,favorite,25,156,13
2,朝(morning),22,15,18
2,昼(midday),31,20,47
2,夕(sunset),66,55,70
2,夜(night),156,140,114
2,春(spring),25,33,44
2,夏(summer),31,59,60
2,秋(autumn),68,66,94
2,冬(winter),13,21,62
2,愛らしい,25,24,23
2,楽しい,5,54,13
2,豪華な,13,5,78
2,素朴な,13,156,78
2,味わい深い,132,145,105
2,調のある,66,54,30
2,優雅な,21,34,20
2,気品のある,13,5,57
2,合理的な,53,62,57
2,nation,,,
2,hometown,,,
3,favorite,76,77,47
3,朝(morning),70,44,40
3,昼(midday),55,68,70
3,夕(sunset),67,79,105
3,夜(night),114,153,156
3,春(spring),57,15,27
3,夏(summer),34,22,62
3,秋(autumn),79,105,120
3,冬(winter),13,10,8
3,愛らしい,1,14,27
3,楽しい,18,31,44
3,豪華な,89,77,92
3,素朴な,1,2,3
3,味わい深い,53,66,79
3,調のある,92,105,118
3,優雅な,21,34,47
3,気品のある,128,141,154
3,合理的な,88,101,114
3,nation,,,
3,hometown,,,
4,favorite,25,26,12
4,朝(morning),21,4,35
4,昼(midday),34,33,66
4,夕(sunset),67,37,42
4,夜(night),153,70,62
4,春(spring),25,20,21
4,夏(summer),66,88,13
4,秋(autumn),93,54,2
4,冬(winter),35,13,26
4,愛らしい,51,1,5
4,楽しい,67,58,57
4,豪華な,92,69,144
4,素朴な,9,3,39
4,味わい深い,106,137,94
4,調のある,118,82,13
4,優雅な,89,92,105
4,気品のある,50,105,70
4,合理的な,78,126,139
4,nation,,,
4,hometown,,,
5,favorite,24,92,156
5,朝(morning),66,21,18
5,昼(midday),54,14,40
5,夕(sunset),67,53,92
5,夜(night),75,57,18
5,春(spring),38,54,40
5,夏(summer),61,75,47
5,秋(autumn),92,106,121
5,冬(winter),13,111,79
5,愛らしい,66,77,67
5,楽しい,67,40,43
5,豪華な,44,68,79
5,素朴な,26,16,65
5,味わい深い,66,40,28
5,調のある,70,54,56
5,優雅な,105,115,111
5,気品のある,141,105,44
5,合理的な,85,20,33
5,nation,,,
5,hometown,,,
6,favorite,25,21,64
6,朝(morning),28,18,20
6,昼(midday),54,57,53
6,夕(sunset),68,94,40
6,夜(night),127,153,156
6,春(spring),25,21,18
6,夏(summer),34,54,72
6,秋(autumn),70,106,105
6,冬(winter),113,102,86
6,愛らしい,66,77,70
6,楽しい,70,67,66
6,豪華な,66,89,77
6,素朴な,132,124,59
6,味わい深い,57,69,118
6,調のある,66,75,70
6,優雅な,64,63,74
6,気品のある,90,76,40
6,合理的な,73,72,70
6,nation,,,
6,hometown,,,
7,favorite,22,11,13
7,朝(morning),48,26,42
7,昼(midday),21,8,0
7,夕(sunset),105,54,43
7,夜(night),153,143,18
7,春(spring),17,20,7
7,夏(summer),34,27,3
7,秋(autumn),107,55,150
7,冬(winter),75,86,13
7,愛らしい,25,24,12
7,楽しい,70,55,28
7,豪華な,156,88,53
7,素朴な,26,78,14
7,味わい深い,142,115,118
7,調のある,92,70,115
7,優雅な,89,114,103
7,気品のある,13,49,37
7,合理的な,13,20,22
7,nation,,,
7,hometown,,,
8,favorite,26,75,98
8,朝(morning),14,13,8
